account,date,sentiment,n_trades,sum_size_usd,mean_size_usd,sum_size_tokens,avg_pnl,total_pnl,win_rate,buy_fraction,long_fraction
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Extreme Greed,177,900880.13,5089.718248587571,281.0,0.0,0.0,0.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Extreme Greed,68,542413.1799999999,7976.664411764705,1100.0,0.0,0.0,0.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Extreme Greed,40,949380.0,23734.5,300.0,0.0,0.0,0.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Extreme Greed,12,338240.0,28186.666666666668,100.0,-1768.9166666666667,-21227.0,0.0,1.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Extreme Greed,27,465700.0,17248.14814814815,2000.0,59.37407407407407,1603.1,0.4444444444444444,0.4444444444444444,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Extreme Greed,82,1316799.98,16058.536341463414,1300.0,-1613.060975609756,-132271.0,0.0,1.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Extreme Greed,23,1116918.77,48561.68565217392,300.0,0.0,0.0,0.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,33,1212299.96,36736.36242424243,300.0,-5321.545456242425,-175611.00005600002,0.0,1.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Extreme Greed,465,5306093.62,11410.954021505377,13049.88,153.53540666236557,71393.964098,0.04946236559139785,0.24086021505376345,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Extreme Greed,51,479429.99,9400.588039215687,2000.0,788.5999999607843,40218.599998,0.5490196078431373,0.5490196078431373,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,10,1858470.0,185847.0,600.0,7671.0,76710.0,0.9,0.9,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,839,19794543.66,23593.019856972587,9078.259,120.39533452205006,101011.685664,0.30512514898688914,0.4171632896305125,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,531,5616220.88,10576.687156308852,15699.8,707.3828064839925,375620.270243,0.15630885122410546,0.20903954802259886,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,210,5582863.31,26585.06338095238,2033.5464,211.43288476190477,44400.9058,0.37142857142857144,0.37142857142857144,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,141,1432708.93,10161.056241134751,537.5034,219.12828865248227,30897.0887,0.9361702127659575,0.9361702127659575,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,48,1537560.0,32032.5,600.0,1147.625,55086.0,0.3333333333333333,0.3333333333333333,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,6,807600.01,134600.00166666668,300.0,0.0,0.0,0.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,59,1603504.46,27178.041694915253,600.0,172.06986847457628,10152.12224,0.5254237288135594,0.5254237288135594,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,219,2898197.14,13233.776894977169,1137.5218,527.1479248310502,115445.395538,0.4246575342465753,0.4246575342465753,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Extreme Fear,55,1372739.97,24958.908545454546,600.0,2096.1272727272726,115287.0,0.01818181818181818,0.01818181818181818,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Extreme Fear,45,134360.89,2985.797555555556,59.3362,210.7160320222222,9482.221441,0.8,0.8,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,641,5365898.24,8371.136099843994,9125.2102,833.0337954804993,533974.662903,0.8424336973478939,0.8424336973478939,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,5,398200.0,79640.0,200.0,8040.0,40200.0,0.8,0.8,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,31,666240.85,21491.640322580646,424.3302,9930.832368064515,307855.80341,1.0,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Extreme Greed,55,135847.3,2469.9509090909087,21183.59931682,213.01714963636365,11715.94323,0.8363636363636363,0.14545454545454545,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Extreme Greed,1,0.06,0.06,0.00736001,0.0,0.0,0.0,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,34,48513.58,1426.8700000000001,3761.97,0.0,0.0,0.0,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Extreme Greed,26,52028.630000000005,2001.101153846154,3760.6533117799995,135.1935025,3515.031065,0.9615384615384616,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Extreme Greed,46,52066.88,1131.888695652174,4109.51,0.0,0.0,0.0,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Extreme Greed,64,54584.72,852.88625,4108.0716733,39.340427890625,2517.787385,0.984375,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Extreme Greed,59,112897.91,1913.523898305085,4428.860000000001,27.341794966101695,1613.165903,0.2542372881355932,0.7457627118644068,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Extreme Greed,1,0.11,0.11,0.00481383,0.0,0.0,0.0,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,34,341740.77999999997,10051.199411764705,100.0,36.63289735294118,1245.51851,0.6176470588235294,0.38235294117647056,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,Greed,13,36997.54,2845.9646153846156,175744.0,0.0,0.0,0.0,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,Extreme Greed,17,41490.68,2440.6282352941175,175682.0,264.30779288235294,4493.232479,1.0,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,Extreme Greed,39,84021.26999999999,2154.3915384615384,424255.48971,26.84694851282051,1047.030992,0.717948717948718,0.2564102564102564,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,Extreme Greed,124,272092.55,2194.294758064516,437057.6347,39.04882513709678,4842.054317,0.6451612903225806,0.3467741935483871,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,Extreme Greed,339,588968.28,1737.369557522124,26804.670000000002,4.99555505899705,1693.493165,0.584070796460177,0.415929203539823,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,Extreme Greed,54,129509.91,2398.331666666667,5679.41,78.16956294444445,4221.156399,0.07407407407407407,0.9259259259259259,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,Greed,44,66856.49,1519.465681818182,3026.52,0.0,0.0,0.0,1.0,0.0
